Year,Title,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
1937,Snow_White_and_the_Seven_Dwarfs.txt,0.0013831258644536700,0.0677731673582296,0.0013831258644536700,0.0055325034578146600,0.022130013831258600,0.0013831258644536700,0.0013831258644536700,0.22544951590594700,0.24204702627939100,0.0013831258644536700,0.0013831258644536700,0.0013831258644536700,0.14246196403872800,0.1839557399723380,0.10096818810511800
1940,Fantasia_2000.txt,0.09770114942528740,0.16666666666666700,0.0028735632183908000,0.0028735632183908000,0.0028735632183908000,0.011494252873563200,0.0028735632183908000,0.037356321839080500,0.0028735632183908000,0.037356321839080500,0.0632183908045977,0.10632183908046000,0.45977011494252900,0.0028735632183908000,0.0028735632183908000
1940,Pinocchio.txt,8.01282051282051E-04,0.02483974358974360,0.01282051282051280,0.017628205128205100,0.03926282051282050,0.017628205128205100,0.49118589743589700,0.13782051282051300,0.056089743589743600,8.01282051282051E-04,8.01282051282051E-04,8.01282051282051E-04,0.14983974358974400,0.04887820512820510,8.01282051282051E-04
1941,Dumbo.txt,0.0011037527593819000,0.024282560706401800,0.03090507726269320,0.011037527593819000,0.03752759381898460,0.04415011037527590,0.0011037527593819000,0.24282560706401800,0.02097130242825610,0.4116997792494480,0.027593818984547500,0.0011037527593819000,0.03421633554083890,0.00772626931567329,0.10375275938189800
1942,Bambi.txt,0.0024691358024691400,0.0024691358024691400,0.0024691358024691400,0.009876543209876540,0.02469135802469140,0.0024691358024691400,0.0024691358024691400,0.1876543209876540,0.009876543209876540,0.009876543209876540,0.0024691358024691400,0.02469135802469140,0.5061728395061730,0.017283950617284000,0.19506172839506200
1942,Saludos_Amigos.txt,0.005105762217359590,7.29394602479942E-04,7.29394602479942E-04,0.020423048869438400,0.029175784099197700,0.016046681254558700,0.02698760029175780,0.031363967906637500,0.048869438366156100,0.4668125455871630,0.03355215171407730,0.18891320204230500,0.09919766593727210,0.02261123267687820,0.00948212983223924
1944,The_Three_Caballeros.txt,0.013961605584642200,0.013961605584642200,0.013961605584642200,0.02181500872600350,0.02705061082024430,0.05584642233856890,0.011343804537521800,0.08202443280977310,0.12129144851657900,0.537521815008726,0.013961605584642200,8.7260034904014E-04,0.06893542757417100,0.006108202443280980,0.011343804537521800
1946,Make_Mine_Music.txt,0.0010224948875255600,0.0010224948875255600,0.0010224948875255600,0.05316973415132920,0.0408997955010225,0.02556237218813910,0.034764826175869100,0.08384458077709610,0.09304703476482620,0.01329243353783230,0.02556237218813910,0.034764826175869100,0.5899795501022500,0.0010224948875255600,0.0010224948875255600
1947,Fun_and_Fancy_Free.txt,0.02315963606286190,0.07775020678246490,0.03556658395368070,0.02315963606286190,0.018196856906534300,0.1348221670802320,0.030603804797353200,0.1348221670802320,0.06038047973531840,0.04797353184449960,0.02315963606286190,0.0206782464846981,0.11000827129859400,0.20181968569065300,0.05789909015715470
1949,The_Adventures_of_Ichabod_and_Mr._Toad.txt,0.005219985085756900,0.007457121551081280,0.01640566741237880,0.03653989560029830,0.07680835197613720,0.020879940343027600,0.01640566741237880,0.10365398956003000,0.023117076808352000,0.002982848620432510,7.45712155108128E-04,0.4727815063385530,0.10141685309470500,0.10365398956003000,0.011931394481730100
